instance_id,resolution_status,exit_code
astropy__astropy-12907,RESOLVED_FULL,0
astropy__astropy-13033,RESOLVED_NO,1
astropy__astropy-13236,RESOLVED_NO,1
astropy__astropy-13398,RESOLVED_NO,1
astropy__astropy-13453,RESOLVED_FULL,0
astropy__astropy-13579,RESOLVED_FULL,0
astropy__astropy-13977,RESOLVED_FULL,0
astropy__astropy-14096,RESOLVED_NO,1
astropy__astropy-14182,RESOLVED_FULL,0
astropy__astropy-14309,RESOLVED_FULL,0
astropy__astropy-14365,RESOLVED_FULL,0
astropy__astropy-14369,RESOLVED_FULL,0
astropy__astropy-14508,RESOLVED_FULL,0
astropy__astropy-14539,RESOLVED_FULL,0
astropy__astropy-14598,RESOLVED_FULL,0
astropy__astropy-14995,RESOLVED_FULL,0
astropy__astropy-7166,RESOLVED_FULL,0
astropy__astropy-7336,RESOLVED_FULL,0
astropy__astropy-7606,RESOLVED_FULL,0
astropy__astropy-7671,RESOLVED_FULL,0
django__django-10097,RESOLVED_NO,1
django__django-10554,RESOLVED_FULL,0
django__django-10880,RESOLVED_FULL,0
django__django-10914,RESOLVED_FULL,0
django__django-10973,RESOLVED_FULL,0
django__django-10999,RESOLVED_FULL,0
django__django-11066,RESOLVED_FULL,0
django__django-11087,RESOLVED_FULL,0
django__django-11095,RESOLVED_FULL,0
django__django-11099,RESOLVED_FULL,0
django__django-11119,RESOLVED_FULL,0
django__django-11133,RESOLVED_FULL,0
django__django-11138,RESOLVED_NO,1
django__django-11141,RESOLVED_FULL,0
django__django-11149,RESOLVED_FULL,0
django__django-11163,RESOLVED_FULL,0
django__django-11179,RESOLVED_FULL,0
django__django-11206,RESOLVED_FULL,0
django__django-11211,RESOLVED_FULL,0
django__django-11239,RESOLVED_FULL,0
django__django-11265,RESOLVED_FULL,0
django__django-11276,RESOLVED_FULL,0
django__django-11292,RESOLVED_FULL,0
django__django-11299,RESOLVED_FULL,0
django__django-11333,RESOLVED_FULL,0
django__django-11400,RESOLVED_FULL,0
django__django-11433,RESOLVED_FULL,0
django__django-11451,RESOLVED_FULL,0
django__django-11477,RESOLVED_FULL,0
django__django-11490,RESOLVED_FULL,0
django__django-11532,RESOLVED_FULL,0
django__django-11551,RESOLVED_FULL,0
django__django-11555,RESOLVED_FULL,0
django__django-11603,RESOLVED_FULL,0
django__django-11728,RESOLVED_FULL,0
django__django-11734,RESOLVED_FULL,0
django__django-11740,RESOLVED_FULL,0
django__django-11749,RESOLVED_FULL,0
django__django-11790,RESOLVED_FULL,0
django__django-11815,RESOLVED_FULL,0
django__django-11820,RESOLVED_FULL,0
django__django-11848,RESOLVED_FULL,0
django__django-11880,RESOLVED_FULL,0
django__django-11885,RESOLVED_FULL,0
django__django-11951,RESOLVED_FULL,0
django__django-11964,RESOLVED_FULL,0
django__django-11999,RESOLVED_FULL,0
django__django-12039,RESOLVED_FULL,0
django__django-12050,RESOLVED_FULL,0
django__django-12125,RESOLVED_FULL,0
django__django-12143,RESOLVED_FULL,0
django__django-12155,RESOLVED_FULL,0
django__django-12193,RESOLVED_FULL,0
django__django-12209,RESOLVED_FULL,0
django__django-12262,RESOLVED_FULL,0
django__django-12273,RESOLVED_FULL,0
django__django-12276,RESOLVED_FULL,0
django__django-12304,RESOLVED_FULL,0
django__django-12308,RESOLVED_FULL,0
django__django-12325,RESOLVED_FULL,0
django__django-12406,RESOLVED_FULL,0
django__django-12419,RESOLVED_FULL,0
django__django-12663,RESOLVED_FULL,0
django__django-12708,RESOLVED_FULL,0
django__django-12713,RESOLVED_FULL,0
django__django-12741,RESOLVED_FULL,0
django__django-12754,RESOLVED_FULL,0
django__django-12774,RESOLVED_FULL,0
django__django-12858,RESOLVED_FULL,0
django__django-12965,RESOLVED_FULL,0
django__django-13012,RESOLVED_FULL,0
django__django-13023,RESOLVED_FULL,0
django__django-13028,RESOLVED_FULL,0
django__django-13033,RESOLVED_FULL,0
django__django-13089,RESOLVED_FULL,0
django__django-13109,RESOLVED_FULL,0
django__django-13112,RESOLVED_FULL,0
django__django-13121,RESOLVED_FULL,0
django__django-13128,RESOLVED_FULL,0
django__django-13158,RESOLVED_FULL,0
django__django-13195,RESOLVED_FULL,0
django__django-13212,RESOLVED_FULL,0
django__django-13279,RESOLVED_FULL,0
django__django-13297,RESOLVED_FULL,0
django__django-13315,RESOLVED_FULL,0
django__django-13343,RESOLVED_NO,1
django__django-13344,RESOLVED_FULL,0
django__django-13346,RESOLVED_FULL,0
django__django-13363,RESOLVED_FULL,0
django__django-13401,RESOLVED_FULL,0
django__django-13406,RESOLVED_FULL,0
django__django-13410,RESOLVED_FULL,0
django__django-13417,RESOLVED_FULL,0
django__django-13449,RESOLVED_FULL,0
django__django-13512,RESOLVED_FULL,0
django__django-13513,RESOLVED_FULL,0
django__django-13516,RESOLVED_FULL,0
django__django-13551,RESOLVED_FULL,0
django__django-13568,RESOLVED_FULL,0
django__django-13569,RESOLVED_FULL,0
django__django-13590,RESOLVED_FULL,0
django__django-13658,RESOLVED_NO,1
django__django-13670,RESOLVED_FULL,0
django__django-13741,RESOLVED_FULL,0
django__django-13786,RESOLVED_FULL,0
django__django-13794,RESOLVED_FULL,0
django__django-13807,RESOLVED_FULL,0
django__django-13809,RESOLVED_FULL,0
django__django-13810,RESOLVED_FULL,0
django__django-13820,RESOLVED_FULL,0
django__django-13821,RESOLVED_FULL,0
django__django-13837,RESOLVED_FULL,0
django__django-13925,RESOLVED_FULL,0
django__django-13933,RESOLVED_FULL,0
django__django-13964,RESOLVED_FULL,0
django__django-14007,RESOLVED_FULL,0
django__django-14011,RESOLVED_FULL,0
django__django-14017,RESOLVED_FULL,0
django__django-14034,RESOLVED_FULL,0
django__django-14053,RESOLVED_FULL,0
django__django-14089,RESOLVED_FULL,0
django__django-14122,RESOLVED_FULL,0
django__django-14140,RESOLVED_FULL,0
django__django-14155,RESOLVED_FULL,0
django__django-14170,RESOLVED_FULL,0
django__django-14238,RESOLVED_FULL,0
django__django-14311,RESOLVED_FULL,0
django__django-14315,RESOLVED_FULL,0
django__django-14349,RESOLVED_FULL,0
django__django-14351,RESOLVED_FULL,0
django__django-14373,RESOLVED_FULL,0
django__django-14376,RESOLVED_FULL,0
django__django-14404,RESOLVED_FULL,0
django__django-14434,RESOLVED_FULL,0
django__django-14493,RESOLVED_FULL,0
django__django-14500,RESOLVED_FULL,0
django__django-14534,RESOLVED_FULL,0
django__django-14539,RESOLVED_FULL,0
django__django-14559,RESOLVED_FULL,0
django__django-14580,RESOLVED_FULL,0
django__django-14608,RESOLVED_FULL,0
django__django-14631,RESOLVED_FULL,0
django__django-14672,RESOLVED_FULL,0
django__django-14725,RESOLVED_FULL,0
django__django-14752,RESOLVED_FULL,0
django__django-14765,RESOLVED_FULL,0
django__django-14771,RESOLVED_FULL,0
django__django-14787,RESOLVED_FULL,0
django__django-14792,RESOLVED_FULL,0
django__django-14855,RESOLVED_FULL,0
django__django-14915,RESOLVED_FULL,0
django__django-14999,RESOLVED_FULL,0
django__django-15022,RESOLVED_FULL,0
django__django-15037,RESOLVED_NO,1
django__django-15098,RESOLVED_FULL,0
django__django-15103,RESOLVED_NO,1
django__django-15104,RESOLVED_FULL,0
django__django-15127,RESOLVED_FULL,0
django__django-15128,RESOLVED_FULL,0
django__django-15161,RESOLVED_FULL,0
django__django-15252,RESOLVED_FULL,0
django__django-15268,RESOLVED_FULL,0
django__django-15277,RESOLVED_FULL,0
django__django-15278,RESOLVED_FULL,0
django__django-15280,RESOLVED_FULL,0
django__django-15315,RESOLVED_FULL,0
django__django-15368,RESOLVED_FULL,0
django__django-15375,RESOLVED_FULL,0
django__django-15380,RESOLVED_FULL,0
django__django-15382,RESOLVED_FULL,0
django__django-15467,RESOLVED_FULL,0
django__django-15499,RESOLVED_FULL,0
django__django-15503,RESOLVED_FULL,0
django__django-15525,RESOLVED_FULL,0
django__django-15554,RESOLVED_FULL,0
django__django-15561,RESOLVED_FULL,0
django__django-15563,RESOLVED_FULL,0
django__django-15569,RESOLVED_FULL,0
