instance_id,resolution_status,resolved,f2p,p2p,repo
astropy__astropy-7336,TASK_FAILED,FALSE,N/A,N/A,astropy
django__django-10973,RESOLVED_FULL,TRUE,5/5,0/0,django
django__django-11095,RESOLVED_FULL,TRUE,1/1,19/19,django
django__django-11276,RESOLVED_FULL,TRUE,26/26,548/548,django
django__django-11820,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11951,TASK_FAILED,FALSE,N/A,N/A,django
django__django-12741,RESOLVED_FULL,TRUE,2/2,67/67,django
django__django-13417,RESOLVED_FULL,TRUE,2/2,280/280,django
django__django-13513,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13741,RESOLVED_FULL,TRUE,1/1,82/82,django
django__django-13837,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14351,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14434,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14493,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14765,RESOLVED_FULL,TRUE,1/1,64/64,django
django__django-15128,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15561,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15916,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16100,RESOLVED_FULL,TRUE,1/1,59/59,django
django__django-16493,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16502,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16527,RESOLVED_FULL,TRUE,1/1,6/6,django
django__django-16950,TASK_FAILED,FALSE,N/A,N/A,django
django__django-7530,TASK_FAILED,FALSE,N/A,N/A,django
matplotlib__matplotlib-22719,RESOLVED_FULL,TRUE,1/1,68/68,matplotlib
pydata__xarray-6721,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-6744,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-7229,NO_TASK,FALSE,N/A,N/A,pydata
pytest-dev__pytest-10081,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-5809,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-7205,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-7236,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-7571,NO_TASK,FALSE,N/A,N/A,pytest-dev
scikit-learn__scikit-learn-10844,RESOLVED_FULL,TRUE,1/1,16/16,scikit-learn
scikit-learn__scikit-learn-25747,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
sphinx-doc__sphinx-10673,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-8595,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-9229,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-9258,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-9602,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sympy__sympy-12481,TASK_FAILED,FALSE,N/A,N/A,sympy
sympy__sympy-14976,TASK_FAILED,FALSE,N/A,N/A,sympy
sympy__sympy-15349,RESOLVED_FULL,TRUE,1/1,3/3,sympy
sympy__sympy-15976,TASK_FAILED,FALSE,N/A,N/A,sympy
sympy__sympy-17318,TASK_FAILED,FALSE,N/A,N/A,sympy
sympy__sympy-17630,TASK_FAILED,FALSE,N/A,N/A,sympy
sympy__sympy-19040,TASK_FAILED,FALSE,N/A,N/A,sympy
sympy__sympy-19495,TASK_FAILED,FALSE,N/A,N/A,sympy
sympy__sympy-21379,TASK_FAILED,FALSE,N/A,N/A,sympy
sympy__sympy-22456,TASK_FAILED,FALSE,N/A,N/A,sympy
astropy__astropy-14369,TASK_FAILED,FALSE,N/A,N/A,astropy
astropy__astropy-14598,TASK_FAILED,FALSE,N/A,N/A,astropy
astropy__astropy-7671,RESOLVED_FULL,TRUE,1/1,3/3,astropy
django__django-11239,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11333,TASK_FAILED,FALSE,N/A,N/A,django
django__django-11490,TASK_FAILED,FALSE,N/A,N/A,django
django__django-12273,TASK_FAILED,FALSE,N/A,N/A,django
django__django-12276,RESOLVED_FULL,TRUE,2/2,117/117,django
django__django-12304,TASK_FAILED,FALSE,N/A,N/A,django
django__django-12308,TASK_FAILED,FALSE,N/A,N/A,django
django__django-13551,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14011,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14170,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14311,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14349,RESOLVED_FULL,TRUE,1/1,18/18,django
django__django-14404,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14500,TASK_FAILED,FALSE,N/A,N/A,django
django__django-14999,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15022,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15098,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15268,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15368,RESOLVED_FULL,TRUE,1/1,29/29,django
django__django-15382,TASK_FAILED,FALSE,N/A,N/A,django
django__django-15741,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16082,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16255,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16315,TASK_FAILED,FALSE,N/A,N/A,django
django__django-16429,RESOLVED_FULL,TRUE,4/4,21/21,django
django__django-16612,RESOLVED_FULL,TRUE,2/2,335/335,django
matplotlib__matplotlib-25775,TASK_FAILED,FALSE,N/A,N/A,matplotlib
matplotlib__matplotlib-25960,TASK_FAILED,FALSE,N/A,N/A,matplotlib
pydata__xarray-3305,NO_TASK,FALSE,N/A,N/A,pydata
pydata__xarray-4966,NO_TASK,FALSE,N/A,N/A,pydata
pylint-dev__pylint-4551,NO_TASK,FALSE,N/A,N/A,pylint-dev
pylint-dev__pylint-6386,NO_TASK,FALSE,N/A,N/A,pylint-dev
pytest-dev__pytest-7521,NO_TASK,FALSE,N/A,N/A,pytest-dev
pytest-dev__pytest-8399,NO_TASK,FALSE,N/A,N/A,pytest-dev
scikit-learn__scikit-learn-10908,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-11578,RESOLVED_FULL,TRUE,1/1,93/93,scikit-learn
scikit-learn__scikit-learn-13135,RESOLVED_FULL,TRUE,1/1,33/33,scikit-learn
scikit-learn__scikit-learn-14629,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
scikit-learn__scikit-learn-14894,RESOLVED_FULL,TRUE,1/1,85/85,scikit-learn
scikit-learn__scikit-learn-26194,TASK_FAILED,FALSE,N/A,N/A,scikit-learn
sphinx-doc__sphinx-10466,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-8265,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sphinx-doc__sphinx-9658,NO_TASK,FALSE,N/A,N/A,sphinx-doc
sympy__sympy-14531,TASK_FAILED,FALSE,N/A,N/A,sympy
sympy__sympy-18211,TASK_FAILED,FALSE,N/A,N/A,sympy
sympy__sympy-19954,TASK_FAILED,FALSE,N/A,N/A,sympy
sympy__sympy-20916,TASK_FAILED,FALSE,N/A,N/A,sympy
